MappedinID,AreaListID_23,AreaListID_25,ChangedColumns,Name_23,Name_25,VN_23,VN_25,EN_23,EN_25,ZH_23,ZH_25,JA_23,JA_25,KO_23,KO_25
e_1225c41d25c1e81e,1221,1221,Name,e_1225c41d25c1e81e,N,N,N,N,N,,,,,,
e_12c395606cf2acf6,871,871,Name,e_12c395606cf2acf6,N,N,N,N,N,,,,,,
e_13a230d9f8812882,934,934,Name,e_13a230d9f8812882,N,N,N,N,N,,,,,,
e_146856eaca08bb73,1705,1705,Name,e_146856eaca08bb73,N,N,N,N,N,,,,,,
e_14d881f842d609fa,796,796,Name,e_14d881f842d609fa,N,N,N,N,N,,,,,,
e_1528597c8e29d1c3,933,933,Name,e_1528597c8e29d1c3,N,N,N,N,N,,,,,,
e_157f7996be731645,1653,1653,Name,e_157f7996be731645,N,N,N,N,N,,,,,,
e_172d175763dd6c95,1737,1737,Name,e_172d175763dd6c95,N,N,N,N,N,,,,,,
e_175bc588a7e1a507,845,845,Name,e_175bc588a7e1a507,N,N,N,N,N,,,,,,
e_177df18bba25ea91,2366,2366,Name,e_177df18bba25ea91,N,N,N,N,N,,,,,,
e_17c27c3113a86d48,1216,1216,Name,e_17c27c3113a86d48,N,N,N,N,N,,,,,,
e_17c4a9864d75bebe,2361,2361,Name,e_17c4a9864d75bebe,N,N,N,N,N,,,,,,
e_185f664f386facc4,1723,1723,Name,e_185f664f386facc4,N,N,N,N,N,,,,,,
e_1a0cdbf08cc172e8,938,938,Name,e_1a0cdbf08cc172e8,N,N,N,N,N,,,,,,
e_1a132fa6167b1486,2387,2387,Name,e_1a132fa6167b1486,N,N,N,N,N,,,,,,
e_1a696e5d6c1d4bdb,794,794,Name,e_1a696e5d6c1d4bdb,N,N,N,N,N,,,,,,
e_1a73b81145cbb3d7,2422,2422,Name,e_1a73b81145cbb3d7,N,N,N,N,N,,,,,,
e_1abcbd875ee5d7fe,1263,1263,Name,e_1abcbd875ee5d7fe,N,N,N,N,N,,,,,,
e_1b0a068e989a2fe9,1208,1208,Name,e_1b0a068e989a2fe9,N,N,N,N,N,,,,,,
e_1b65cad68f1931fc,1172,1172,Name,e_1b65cad68f1931fc,N,N,N,N,N,,,,,,
e_1b6d058c0e337394,2398,2398,Name,e_1b6d058c0e337394,N,N,N,N,N,,,,,,
e_1bf1d30ad2d6edfe,1758,1758,Name,e_1bf1d30ad2d6edfe,N,N,N,N,N,,,,,,
e_1c3d14cbda5bdaf8,1212,1212,Name,e_1c3d14cbda5bdaf8,N,N,N,N,N,,,,,,
e_1cb7a82dd73cda7f,1696,1696,Name,e_1cb7a82dd73cda7f,N,N,N,N,N,,,,,,
e_1ccef84e8f12e68b,1816,1816,Name,e_1ccef84e8f12e68b,N,N,N,N,N,,,,,,
e_1d946b56b6dc52ba,1823,1823,Name,e_1d946b56b6dc52ba,N,N,N,N,N,,,,,,
e_1f14f36bbdc67e72,1003,1003,Name,e_1f14f36bbdc67e72,N,N,N,N,N,,,,,,
e_1f39e497486c9d3f,1757,1757,Name,e_1f39e497486c9d3f,N,N,N,N,N,,,,,,
e_1f6eaeec9868013b,1819,1819,Name,e_1f6eaeec9868013b,N,N,N,N,N,,,,,,
e_1f91f239ffd48fa6,1624,1624,Name,e_1f91f239ffd48fa6,N,N,N,N,N,,,,,,
e_20379f6d599fd97e,1001,1001,Name,e_20379f6d599fd97e,N,N,N,N,N,,,,,,
e_209afe1a937ab3e4,954,954,Name,e_209afe1a937ab3e4,N,N,N,N,N,,,,,,
e_20e961caf8ba07da,936,936,Name,e_20e961caf8ba07da,N,N,N,N,N,,,,,,
e_215b05c4259a2bf8,2369,2369,Name,e_215b05c4259a2bf8,N,N,N,N,N,,,,,,
e_21a10b9ec5fda6af,1773,1773,Name,e_21a10b9ec5fda6af,N,N,N,N,N,,,,,,
e_21dada8e5c9356f3,2378,2378,Name,e_21dada8e5c9356f3,N,N,N,N,N,,,,,,
e_2239003de2f81ebe,754,754,Name,e_2239003de2f81ebe,N,N,N,N,N,,,,,,
e_22e608c058f4988f,1187,1187,Name,e_22e608c058f4988f,N,N,N,N,N,,,,,,
e_22f97e91459ea324,1720,1720,Name,e_22f97e91459ea324,N,N,N,N,N,,,,,,
e_2301ed5b9f20cd81,1703,1703,Name,e_2301ed5b9f20cd81,N,N,N,N,N,,,,,,
e_235bd91d41fc5f2b,1613,1613,Name,e_235bd91d41fc5f2b,N,N,N,N,N,,,,,,
e_235f29ebad164e12,987,987,Name,e_235f29ebad164e12,N,N,N,N,N,,,,,,
e_23fb5969afe37664,1815,1815,Name,e_23fb5969afe37664,N,N,N,N,N,,,,,,
e_248f8bcdbc7eeb29,1127,1127,Name,e_248f8bcdbc7eeb29,N,N,N,N,N,,,,,,
e_24a54fc0d863083c,1205,1205,Name,e_24a54fc0d863083c,N,N,N,N,N,,,,,,
e_25b55d990bae785e,1761,1761,Name,e_25b55d990bae785e,N,N,N,N,N,,,,,,
e_2627c83ecd6547a8,821,821,Name,e_2627c83ecd6547a8,N,N,N,N,N,,,,,,
e_26aada753e1c4a94,875,875,Name,e_26aada753e1c4a94,N,N,N,N,N,,,,,,
e_26ecb72400c725f1,1813,1813,Name,e_26ecb72400c725f1,N,N,N,N,N,,,,,,
e_272334b44fbb2965,964,964,Name,e_272334b44fbb2965,N,N,N,N,N,,,,,,
e_272cb864f00ad45a,927,927,Name,e_272cb864f00ad45a,N,N,N,N,N,,,,,,
e_282f417eab5d4de1,1067,1067,Name,e_282f417eab5d4de1,N,N,N,N,N,,,,,,
e_285fdcbc8eaa3497,787,787,Name,e_285fdcbc8eaa3497,N,N,N,N,N,,,,,,
e_293b336c61406fbd,1726,1726,Name,e_293b336c61406fbd,N,N,N,N,N,,,,,,
e_2964139e2d10cf9e,1679,1679,Name,e_2964139e2d10cf9e,N,N,N,N,N,,,,,,
e_2a521166202b5543,739,739,Name,e_2a521166202b5543,N,N,N,N,N,,,,,,
e_2a983821790874d2,809,809,Name,e_2a983821790874d2,N,N,N,N,N,,,,,,
e_2b5eca94c48f412b,2111,2111,Name,e_2b5eca94c48f412b,N,N,N,N,N,,,,,,
e_2b90d33edb761d5c,1199,1199,Name,e_2b90d33edb761d5c,N,N,N,N,N,,,,,,
e_2bf874db9fcd9b2c,1250,1250,Name,e_2bf874db9fcd9b2c,N,N,N,N,N,,,,,,
e_2c6660a2e667b52d,2381,2381,Name,e_2c6660a2e667b52d,N,N,N,N,N,,,,,,
e_2cc173f862397c69,2059,2059,Name,e_2cc173f862397c69,N,N,N,N,N,,,,,,
e_2d71760e9fcf678d,795,795,Name,e_2d71760e9fcf678d,N,N,N,N,N,,,,,,
e_2e07609d51fe8ada,1633,1633,Name,e_2e07609d51fe8ada,N,N,N,N,N,,,,,,
e_2e0a5976f442dbb0,918,918,Name,e_2e0a5976f442dbb0,N,N,N,N,N,,,,,,
e_2e2b7ae64966d72c,1662,1662,Name,e_2e2b7ae64966d72c,N,N,N,N,N,,,,,,
e_2ea4d578268c156f,1593,1593,Name,e_2ea4d578268c156f,N,N,N,N,N,,,,,,
e_2ebc0c639ff9e3fa,1006,1006,Name,e_2ebc0c639ff9e3fa,N,N,N,N,N,,,,,,
e_2efad3b733f792a0,1656,1656,Name,e_2efad3b733f792a0,N,N,N,N,N,,,,,,
e_2f2c379fcc1f62b3,952,952,Name,e_2f2c379fcc1f62b3,N,N,N,N,N,,,,,,
e_309b03a8d5bdd04a,891,891,Name,e_309b03a8d5bdd04a,N,N,N,N,N,,,,,,
e_31ae1a0bab430af6,1097,1097,Name,e_31ae1a0bab430af6,N,N,N,N,N,,,,,,
e_3238e2bd86d68d7d,1721,1721,Name,e_3238e2bd86d68d7d,N,N,N,N,N,,,,,,
e_3296af8ec58ede03,922,922,Name,e_3296af8ec58ede03,N,N,N,N,N,,,,,,
e_32c8b347d6714dc0,1658,1658,Name,e_32c8b347d6714dc0,N,N,N,N,N,,,,,,
e_332e225cce2c1b0e,1708,1708,Name,e_332e225cce2c1b0e,N,N,N,N,N,,,,,,
e_333c8545f1bc584c,1618,1618,Name,e_333c8545f1bc584c,N,N,N,N,N,,,,,,
e_33514b118b4be558,1174,1174,Name,e_33514b118b4be558,N,N,N,N,N,,,,,,
e_34327a68a306d00a,803,803,Name,e_34327a68a306d00a,N,N,N,N,N,,,,,,
e_349ff50831ee8a0f,2060,2060,Name,e_349ff50831ee8a0f,N,N,N,N,N,,,,,,
e_354637eb7a52898e,788,788,Name,e_354637eb7a52898e,N,N,N,N,N,,,,,,
e_3553ab17ee60238a,797,797,Name,e_3553ab17ee60238a,N,N,N,N,N,,,,,,
e_35be8f723853c19b,1619,1619,Name,e_35be8f723853c19b,N,N,N,N,N,,,,,,
e_360f71cff219e17b,1605,1605,Name,e_360f71cff219e17b,N,N,N,N,N,,,,,,
e_36a3c8f2cfeb26d0,2116,2116,Name,e_36a3c8f2cfeb26d0,N,N,N,N,N,,,,,,
e_36aaf8d912991b3d,1595,1595,Name,e_36aaf8d912991b3d,N,N,N,N,N,,,,,,
e_36d1e7a45f166a7e,1610,1610,Name,e_36d1e7a45f166a7e,N,N,N,N,N,,,,,,
e_37e0b8c333e6d763,776,776,Name,e_37e0b8c333e6d763,N,N,N,N,N,,,,,,
e_37e38993c2b73df2,748,748,Name,e_37e38993c2b73df2,N,N,N,N,N,,,,,,
e_37e8395804e06671,2388,2388,Name,e_37e8395804e06671,N,N,N,N,N,,,,,,
e_3809377dde83df35,1012,1012,Name,e_3809377dde83df35,N,N,N,N,N,,,,,,
e_384e88a7238c4f60,1215,1215,Name,e_384e88a7238c4f60,N,N,N,N,N,,,,,,
e_38667e407f91b123,1181,1181,Name,e_38667e407f91b123,N,N,N,N,N,,,,,,
e_3938eeebf8a93ece,1227,1227,Name,e_3938eeebf8a93ece,N,N,N,N,N,,,,,,
e_39e45d69bca0091e,1716,1716,Name,e_39e45d69bca0091e,N,N,N,N,N,,,,,,
e_39f95f7ac59abc1a,829,829,Name,e_39f95f7ac59abc1a,N,N,N,N,N,,,,,,
e_3a3a849f31f092ef,1769,1769,Name,e_3a3a849f31f092ef,N,N,N,N,N,,,,,,
e_3ac9eba35aca85c6,2355,2355,Name,e_3ac9eba35aca85c6,N,N,N,N,N,,,,,,
e_3ae92f0eedc56d55,2119,2119,Name,e_3ae92f0eedc56d55,N,N,N,N,N,,,,,,
e_3b58f5025e913b3c,1770,1770,Name,e_3b58f5025e913b3c,N,N,N,N,N,,,,,,
e_3b7b6c14f77c3f66,1733,1733,Name,e_3b7b6c14f77c3f66,N,N,N,N,N,,,,,,
e_3c554be816ad865b,1766,1766,Name,e_3c554be816ad865b,N,N,N,N,N,,,,,,
e_3c7c19f81f2dfa39,931,931,Name,e_3c7c19f81f2dfa39,N,N,N,N,N,,,,,,
e_3d0537dede592dc8,2397,2397,Name,e_3d0537dede592dc8,N,N,N,N,N,,,,,,
e_3d776feb59977073,1702,1702,Name,e_3d776feb59977073,N,N,N,N,N,,,,,,
e_3d9452608743e844,804,804,Name,e_3d9452608743e844,N,N,N,N,N,,,,,,
e_3d9c1c8ec19c3340,1086,1086,Name,e_3d9c1c8ec19c3340,N,N,N,N,N,,,,,,
e_3da6ea5c181604fc,742,742,Name,e_3da6ea5c181604fc,N,N,N,N,N,,,,,,
e_3e8c5e5525220144,1784,1784,Name,e_3e8c5e5525220144,N,N,N,N,N,,,,,,
e_3ea4031e860f1263,909,909,Name,e_3ea4031e860f1263,N,N,N,N,N,,,,,,
e_3ec7866def662ae1,824,824,Name,e_3ec7866def662ae1,N,N,N,N,N,,,,,,
e_3ed87d524550b426,1064,1064,Name,e_3ed87d524550b426,N,N,N,N,N,,,,,,
e_3f07963624520f98,920,920,Name,e_3f07963624520f98,N,N,N,N,N,,,,,,
e_3fcde9dc95e98985,1614,1614,Name,e_3fcde9dc95e98985,N,N,N,N,N,,,,,,
e_400ce6d9190c6c42,1165,1165,Name,e_400ce6d9190c6c42,N,N,N,N,N,,,,,,
e_40366dae1e4a05c1,1228,1228,Name,e_40366dae1e4a05c1,N,N,N,N,N,,,,,,
e_40dcdb374d656131,1806,1806,Name,e_40dcdb374d656131,N,N,N,N,N,,,,,,
e_40f7c7f25fb18eb7,1111,1111,Name,e_40f7c7f25fb18eb7,N,N,N,N,N,,,,,,
e_410cdfb56518ec6d,837,837,Name,e_410cdfb56518ec6d,N,N,N,N,N,,,,,,
e_411473e4256177a5,885,885,Name,e_411473e4256177a5,N,N,N,N,N,,,,,,
e_416d796d37bcb8c3,1742,1742,Name,e_416d796d37bcb8c3,N,N,N,N,N,,,,,,
e_41940c03616230ba,2379,2379,Name,e_41940c03616230ba,N,N,N,N,N,,,,,,
e_41f7cf8e26e8a37f,1190,1190,Name,e_41f7cf8e26e8a37f,N,N,N,N,N,,,,,,
